"jhi_year","module_name","pedagogy","printing","exam"
2023,"FAC4864","BLENDED","Study Guide and Tutorial Letters","VENUE"
2019,"FAC4864","BLENDED","Study Guide and Tutorial Letters","VENUE"
2022,"FAC4864","BLENDED","Study Guide and Tutorial Letters","VENUE"
2024,"FAC4864","BLENDED","Study Guide and Tutorial Letters","VENUE"
2016,"AUE4861","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2021,"AUE4861","BLENDED","Study Guide and Tutorial Letters","VENUE"
2026,"AUE4861","BLENDED","Study Guide and Tutorial Letters","VENUE"
2017,"AUE4861","BLENDED","Study Guide and Tutorial Letters","VENUE"
2015,"AUE4861","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2020,"AUE4861","BLENDED","Study Guide and Tutorial Letters","VENUE"
2025,"AUE4861","BLENDED","Study Guide and Tutorial Letters","VENUE"
2018,"AUE4861","BLENDED","Study Guide and Tutorial Letters","VENUE"
2023,"AUE4861","BLENDED","Study Guide and Tutorial Letters","VENUE"
2019,"AUE4861","BLENDED","Study Guide and Tutorial Letters","VENUE"
2022,"AUE4861","BLENDED","Study Guide and Tutorial Letters","VENUE"
2024,"AUE4861","BLENDED","Study Guide and Tutorial Letters","VENUE"
2016,"AUE4862","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2021,"AUE4862","BLENDED","Study Guide and Tutorial Letters","VENUE"
2026,"AUE4862","BLENDED","Study Guide and Tutorial Letters","VENUE"
2017,"AUE4862","BLENDED","Study Guide and Tutorial Letters","VENUE"
2015,"AUE4862","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2020,"AUE4862","BLENDED","Study Guide and Tutorial Letters","VENUE"
2025,"AUE4862","BLENDED","Study Guide and Tutorial Letters","VENUE"
2018,"AUE4862","BLENDED","Study Guide and Tutorial Letters","VENUE"
2023,"AUE4862","BLENDED","Study Guide and Tutorial Letters","VENUE"
2019,"AUE4862","BLENDED","Study Guide and Tutorial Letters","VENUE"
2022,"AUE4862","BLENDED","Study Guide and Tutorial Letters","VENUE"
2024,"AUE4862","BLENDED","Study Guide and Tutorial Letters","VENUE"
2016,"Planned Limited Dissertation","ONLINE","NONE","NONE VENUE"
2021,"Planned Limited Dissertation","ONLINE","NONE","NONE VENUE"
2026,"Planned Limited Dissertation","ONLINE","NONE","NONE VENUE"
2017,"Planned Limited Dissertation","ONLINE","NONE","NONE VENUE"
2015,"Planned Limited Dissertation","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2020,"Planned Limited Dissertation","ONLINE","NONE","NONE VENUE"
2025,"Planned Limited Dissertation","ONLINE","NONE","NONE VENUE"
2018,"Planned Limited Dissertation","ONLINE","NONE","NONE VENUE"
2023,"Planned Limited Dissertation","ONLINE","NONE","NONE VENUE"
2019,"Planned Limited Dissertation","ONLINE","NONE","NONE VENUE"
2022,"Planned Limited Dissertation","ONLINE","NONE","NONE VENUE"
2024,"Planned Limited Dissertation","ONLINE","NONE","NONE VENUE"
2016,"Planned Full Dissertation","ONLINE","NONE","NONE VENUE"
2021,"Planned Full Dissertation","ONLINE","NONE","NONE VENUE"
2026,"Planned Full Dissertation","ONLINE","NONE","NONE VENUE"
2017,"Planned Full Dissertation","ONLINE","NONE","NONE VENUE"
2015,"Planned Full Dissertation","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2020,"Planned Full Dissertation","ONLINE","NONE","NONE VENUE"
2025,"Planned Full Dissertation","ONLINE","NONE","NONE VENUE"
2018,"Planned Full Dissertation","ONLINE","NONE","NONE VENUE"
2023,"Planned Full Dissertation","ONLINE","NONE","NONE VENUE"
2019,"Planned Full Dissertation","ONLINE","NONE","NONE VENUE"
2022,"Planned Full Dissertation","ONLINE","NONE","NONE VENUE"
2024,"Planned Full Dissertation","ONLINE","NONE","NONE VENUE"
2016,"Planned Full Thesis","ONLINE","NONE","NONE VENUE"
2021,"Planned Full Thesis","ONLINE","NONE","NONE VENUE"
2026,"Planned Full Thesis","ONLINE","NONE","NONE VENUE"
2017,"Planned Full Thesis","ONLINE","NONE","NONE VENUE"
2015,"Planned Full Thesis","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2020,"Planned Full Thesis","ONLINE","NONE","NONE VENUE"
2025,"Planned Full Thesis","ONLINE","NONE","NONE VENUE"
2018,"Planned Full Thesis","ONLINE","NONE","NONE VENUE"
2023,"Planned Full Thesis","ONLINE","NONE","NONE VENUE"
2019,"Planned Full Thesis","ONLINE","NONE","NONE VENUE"
2022,"Planned Full Thesis","ONLINE","NONE","NONE VENUE"
2024,"Planned Full Thesis","ONLINE","NONE","NONE VENUE"
2016,"MAC4861","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2021,"MAC4861","BLENDED","Study Guide and Tutorial Letters","VENUE"
2026,"MAC4861","BLENDED","Study Guide and Tutorial Letters","VENUE"
2017,"MAC4861","BLENDED","Study Guide and Tutorial Letters","VENUE"
2015,"MAC4861","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2020,"MAC4861","BLENDED","Study Guide and Tutorial Letters","VENUE"
2025,"MAC4861","BLENDED","Study Guide and Tutorial Letters","VENUE"
2018,"MAC4861","BLENDED","Study Guide and Tutorial Letters","VENUE"
2023,"MAC4861","BLENDED","Study Guide and Tutorial Letters","VENUE"
2019,"MAC4861","BLENDED","Study Guide and Tutorial Letters","VENUE"
2022,"MAC4861","BLENDED","Study Guide and Tutorial Letters","VENUE"
2024,"MAC4861","BLENDED","Study Guide and Tutorial Letters","VENUE"
2016,"MAC4862","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2021,"MAC4862","BLENDED","Study Guide and Tutorial Letters","VENUE"
2026,"MAC4862","BLENDED","Study Guide and Tutorial Letters","VENUE"
2017,"MAC4862","BLENDED","Study Guide and Tutorial Letters","VENUE"
2015,"MAC4862","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2020,"MAC4862","BLENDED","Study Guide and Tutorial Letters","VENUE"
2025,"MAC4862","BLENDED","Study Guide and Tutorial Letters","VENUE"
2018,"MAC4862","BLENDED","Study Guide and Tutorial Letters","VENUE"
2023,"MAC4862","BLENDED","Study Guide and Tutorial Letters","VENUE"
2019,"MAC4862","BLENDED","Study Guide and Tutorial Letters","VENUE"
2022,"MAC4862","BLENDED","Study Guide and Tutorial Letters","VENUE"
2024,"MAC4862","BLENDED","Study Guide and Tutorial Letters","VENUE"
2016,"TAX4861","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2021,"TAX4861","BLENDED","Study Guide and Tutorial Letters","VENUE"
2026,"TAX4861","BLENDED","Study Guide and Tutorial Letters","VENUE"
2017,"TAX4861","BLENDED","Study Guide and Tutorial Letters","VENUE"
2015,"TAX4861","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2020,"TAX4861","BLENDED","Study Guide and Tutorial Letters","VENUE"
2025,"TAX4861","BLENDED","Study Guide and Tutorial Letters","VENUE"
2018,"TAX4861","BLENDED","Study Guide and Tutorial Letters","VENUE"
2023,"TAX4861","BLENDED","Study Guide and Tutorial Letters","VENUE"
2019,"TAX4861","BLENDED","Study Guide and Tutorial Letters","VENUE"
2022,"TAX4861","BLENDED","Study Guide and Tutorial Letters","VENUE"
2024,"TAX4861","BLENDED","Study Guide and Tutorial Letters","VENUE"
2016,"TAX4862","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2021,"TAX4862","BLENDED","Study Guide and Tutorial Letters","VENUE"
2026,"TAX4862","BLENDED","Study Guide and Tutorial Letters","VENUE"
2017,"TAX4862","BLENDED","Study Guide and Tutorial Letters","VENUE"
2015,"TAX4862","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2020,"TAX4862","BLENDED","Study Guide and Tutorial Letters","VENUE"
2025,"TAX4862","BLENDED","Study Guide and Tutorial Letters","VENUE"
2018,"TAX4862","BLENDED","Study Guide and Tutorial Letters","VENUE"
2023,"TAX4862","BLENDED","Study Guide and Tutorial Letters","VENUE"
2019,"TAX4862","BLENDED","Study Guide and Tutorial Letters","VENUE"
2022,"TAX4862","BLENDED","Study Guide and Tutorial Letters","VENUE"
2024,"TAX4862","BLENDED","Study Guide and Tutorial Letters","VENUE"
2016,"DLINT91 - Planned Limited Dissertation","ONLINE","NONE","NONE VENUE"
2021,"DLINT91 - Planned Limited Dissertation","ONLINE","NONE","NONE VENUE"
2026,"DLINT91 - Planned Limited Dissertation","ONLINE","NONE","NONE VENUE"
2017,"DLINT91 - Planned Limited Dissertation","ONLINE","NONE","NONE VENUE"
2015,"DLINT91 - Planned Limited Dissertation","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2020,"DLINT91 - Planned Limited Dissertation","ONLINE","NONE","NONE VENUE"
2025,"DLINT91 - Planned Limited Dissertation","ONLINE","NONE","NONE VENUE"
2018,"DLINT91 - Planned Limited Dissertation","ONLINE","NONE","NONE VENUE"
2023,"DLINT91 - Planned Limited Dissertation","ONLINE","NONE","NONE VENUE"
2019,"DLINT91 - Planned Limited Dissertation","ONLINE","NONE","NONE VENUE"
2022,"DLINT91 - Planned Limited Dissertation","ONLINE","NONE","NONE VENUE"
2024,"DLINT91 - Planned Limited Dissertation","ONLINE","NONE","NONE VENUE"
2016,"DFINT91 - Planned Full Dissertation","ONLINE","NONE","NONE VENUE"
2021,"DFINT91 - Planned Full Dissertation","ONLINE","NONE","NONE VENUE"
2026,"DFINT91 - Planned Full Dissertation","ONLINE","NONE","NONE VENUE"
2017,"DFINT91 - Planned Full Dissertation","ONLINE","NONE","NONE VENUE"
2015,"DFINT91 - Planned Full Dissertation","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2020,"DFINT91 - Planned Full Dissertation","ONLINE","NONE","NONE VENUE"
2025,"DFINT91 - Planned Full Dissertation","ONLINE","NONE","NONE VENUE"
2018,"DFINT91 - Planned Full Dissertation","ONLINE","NONE","NONE VENUE"
2023,"DFINT91 - Planned Full Dissertation","ONLINE","NONE","NONE VENUE"
2019,"DFINT91 - Planned Full Dissertation","ONLINE","NONE","NONE VENUE"
2022,"DFINT91 - Planned Full Dissertation","ONLINE","NONE","NONE VENUE"
2024,"DFINT91 - Planned Full Dissertation","ONLINE","NONE","NONE VENUE"
2016,"TFINT02 - Planned Full Thesis","ONLINE","NONE","NONE VENUE"
2021,"TFINT02 - Planned Full Thesis","ONLINE","NONE","NONE VENUE"
2026,"TFINT02 - Planned Full Thesis","ONLINE","NONE","NONE VENUE"
2017,"TFINT02 - Planned Full Thesis","ONLINE","NONE","NONE VENUE"
2015,"TFINT02 - Planned Full Thesis","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2020,"TFINT02 - Planned Full Thesis","ONLINE","NONE","NONE VENUE"
2025,"TFINT02 - Planned Full Thesis","ONLINE","NONE","NONE VENUE"
2018,"TFINT02 - Planned Full Thesis","ONLINE","NONE","NONE VENUE"
2023,"TFINT02 - Planned Full Thesis","ONLINE","NONE","NONE VENUE"
2019,"TFINT02 - Planned Full Thesis","ONLINE","NONE","NONE VENUE"
2022,"TFINT02 - Planned Full Thesis","ONLINE","NONE","NONE VENUE"
2024,"TFINT02 - Planned Full Thesis","ONLINE","NONE","NONE VENUE"
2016,"MPCAS92","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2021,"MPCAS92","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2026,"MPCAS92","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2017,"MPCAS92","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2015,"MPCAS92","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2020,"MPCAS92","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2025,"MPCAS92","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2018,"MPCAS92","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2023,"MPCAS92","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2019,"MPCAS92","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2022,"MPCAS92","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2024,"MPCAS92","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2016,"DPCAS02","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2021,"DPCAS02","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2026,"DPCAS02","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2017,"DPCAS02","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2015,"DPCAS02","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2020,"DPCAS02","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2025,"DPCAS02","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2018,"DPCAS02","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2023,"DPCAS02","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2019,"DPCAS02","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2022,"DPCAS02","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2024,"DPCAS02","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2016,"Banking: Introduction","BLENDED","NONE","VENUE"
2021,"Banking: Introduction","BLENDED","NONE","ONLINE"
2026,"Banking: Introduction","BLENDED","NONE","ONLINE"
2017,"Banking: Introduction","BLENDED","NONE","ONLINE"
2015,"Banking: Introduction","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2020,"Banking: Introduction","BLENDED","NONE","ONLINE"
2025,"Banking: Introduction","BLENDED","NONE","ONLINE"
2018,"Banking: Introduction","BLENDED","NONE","ONLINE"
2023,"Banking: Introduction","BLENDED","NONE","ONLINE"
2019,"Banking: Introduction","BLENDED","NONE","ONLINE"
2022,"Banking: Introduction","BLENDED","NONE","ONLINE"
2024,"Banking: Introduction","BLENDED","NONE","ONLINE"
2016,"The Nature, Content and Scope of Public Admin","BLENDED","NONE","ONLINE"
2021,"The Nature, Content and Scope of Public Admin","BLENDED","NONE","ONLINE"
2026,"The Nature, Content and Scope of Public Admin","BLENDED","NONE","ONLINE"
2017,"The Nature, Content and Scope of Public Admin","BLENDED","NONE","VENUE"
2015,"The Nature, Content and Scope of Public Admin","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2020,"The Nature, Content and Scope of Public Admin","BLENDED","NONE","ONLINE"
2025,"The Nature, Content and Scope of Public Admin","BLENDED","NONE","ONLINE"
2018,"The Nature, Content and Scope of Public Admin","BLENDED","NONE","ONLINE"
2023,"The Nature, Content and Scope of Public Admin","BLENDED","NONE","ONLINE"
2019,"The Nature, Content and Scope of Public Admin","BLENDED","NONE","ONLINE"
2022,"The Nature, Content and Scope of Public Admin","BLENDED","NONE","ONLINE"
2024,"The Nature, Content and Scope of Public Admin","BLENDED","NONE","ONLINE"
2016,"Travel Operations","BLENDED","NONE","ONLINE"
2021,"Travel Operations","BLENDED","NONE","ONLINE"
2026,"Travel Operations","BLENDED","NONE","ONLINE"
2017,"Travel Operations","BLENDED","NONE","ONLINE"
2015,"Travel Operations","BLENDED","NONE","VENUE"
2015,"Travel Operations","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2020,"Travel Operations","BLENDED","NONE","ONLINE"
2025,"Travel Operations","BLENDED","NONE","ONLINE"
2018,"Travel Operations","BLENDED","NONE","ONLINE"
2023,"Travel Operations","BLENDED","NONE","ONLINE"
2019,"Travel Operations","BLENDED","NONE","ONLINE"
2022,"Travel Operations","BLENDED","NONE","ONLINE"
2024,"Travel Operations","BLENDED","NONE","ONLINE"
2016,"Economics 1500","BLENDED","NONE","VENUE"
2021,"Economics 1500","BLENDED","NONE","ONLINE"
2026,"Economics 1500","BLENDED","NONE","ONLINE"
2017,"Economics 1500","BLENDED","NONE","ONLINE"
2015,"Economics 1500","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2020,"Economics 1500","BLENDED","NONE","ONLINE"
2025,"Economics 1500","BLENDED","NONE","ONLINE"
2018,"Economics 1500","BLENDED","NONE","ONLINE"
2023,"Economics 1500","BLENDED","NONE","ONLINE"
2019,"Economics 1500","BLENDED","NONE","ONLINE"
2022,"Economics 1500","BLENDED","NONE","ONLINE"
2024,"Economics 1500","BLENDED","NONE","ONLINE"
2016,"History of Economic Thought","BLENDED","NONE","VENUE"
2021,"History of Economic Thought","ONLINE","NONE","VENUE"
2026,"History of Economic Thought","ONLINE","NONE","VENUE"
2017,"History of Economic Thought","ONLINE","NONE","VENUE"
2015,"History of Economic Thought","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2020,"History of Economic Thought","ONLINE","NONE","VENUE"
2025,"History of Economic Thought","ONLINE","NONE","VENUE"
2018,"History of Economic Thought","ONLINE","NONE","VENUE"
2023,"History of Economic Thought","ONLINE","NONE","VENUE"
2019,"History of Economic Thought","ONLINE","NONE","VENUE"
2022,"History of Economic Thought","ONLINE","NONE","VENUE"
2024,"History of Economic Thought","ONLINE","NONE","VENUE"
2016,"Elementary Quantitative Methods","BLENDED","NONE","ONLINE"
2021,"Elementary Quantitative Methods","BLENDED","NONE","ONLINE"
2026,"Elementary Quantitative Methods","BLENDED","NONE","ONLINE"
2017,"Elementary Quantitative Methods","BLENDED","NONE","ONLINE"
2015,"Elementary Quantitative Methods","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2020,"Elementary Quantitative Methods","BLENDED","NONE","ONLINE"
2025,"Elementary Quantitative Methods","BLENDED","NONE","ONLINE"
2018,"Elementary Quantitative Methods","BLENDED","NONE","ONLINE"
2023,"Elementary Quantitative Methods","BLENDED","NONE","ONLINE"
2019,"Elementary Quantitative Methods","BLENDED","NONE","VENUE"
2022,"Elementary Quantitative Methods","BLENDED","NONE","ONLINE"
2024,"Elementary Quantitative Methods","BLENDED","NONE","ONLINE"
2016,"Administrative Management IA","BLENDED","NONE","ONLINE"
2021,"Administrative Management IA","BLENDED","NONE","ONLINE"
2026,"Administrative Management IA","BLENDED","NONE","ONLINE"
2017,"Administrative Management IA","BLENDED","NONE","ONLINE"
2015,"Administrative Management IA","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2020,"Administrative Management IA","BLENDED","NONE","ONLINE"
2025,"Administrative Management IA","BLENDED","NONE","ONLINE"
2018,"Administrative Management IA","BLENDED","NONE","VENUE"
2023,"Administrative Management IA","BLENDED","NONE","ONLINE"
2019,"Administrative Management IA","BLENDED","NONE","ONLINE"
2022,"Administrative Management IA","BLENDED","NONE","ONLINE"
2024,"Administrative Management IA","BLENDED","NONE","ONLINE"
2016,"SOCIAL DIMENSIONS OF JUSTICE","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2021,"SOCIAL DIMENSIONS OF JUSTICE","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2026,"SOCIAL DIMENSIONS OF JUSTICE","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2017,"SOCIAL DIMENSIONS OF JUSTICE","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2015,"SOCIAL DIMENSIONS OF JUSTICE","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2020,"SOCIAL DIMENSIONS OF JUSTICE","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2025,"SOCIAL DIMENSIONS OF JUSTICE","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2018,"SOCIAL DIMENSIONS OF JUSTICE","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2023,"SOCIAL DIMENSIONS OF JUSTICE","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2019,"SOCIAL DIMENSIONS OF JUSTICE","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2022,"SOCIAL DIMENSIONS OF JUSTICE","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2024,"SOCIAL DIMENSIONS OF JUSTICE","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2016,"INTRODUCTION TO FUNDAMENTAL PENOLOGY","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2021,"INTRODUCTION TO FUNDAMENTAL PENOLOGY","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2026,"INTRODUCTION TO FUNDAMENTAL PENOLOGY","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2017,"INTRODUCTION TO FUNDAMENTAL PENOLOGY","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2015,"INTRODUCTION TO FUNDAMENTAL PENOLOGY","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2020,"INTRODUCTION TO FUNDAMENTAL PENOLOGY","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2025,"INTRODUCTION TO FUNDAMENTAL PENOLOGY","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2018,"INTRODUCTION TO FUNDAMENTAL PENOLOGY","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2023,"INTRODUCTION TO FUNDAMENTAL PENOLOGY","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2019,"INTRODUCTION TO FUNDAMENTAL PENOLOGY","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2022,"INTRODUCTION TO FUNDAMENTAL PENOLOGY","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2024,"INTRODUCTION TO FUNDAMENTAL PENOLOGY","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2016,"CORRECTIONAL SERVICES ADMINISTRATION 1: MODULE 2: INTRODUCTION TO CORRECTIONS SCIENCE.","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2021,"CORRECTIONAL SERVICES ADMINISTRATION 1: MODULE 2: INTRODUCTION TO CORRECTIONS SCIENCE.","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2026,"CORRECTIONAL SERVICES ADMINISTRATION 1: MODULE 2: INTRODUCTION TO CORRECTIONS SCIENCE.","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2017,"CORRECTIONAL SERVICES ADMINISTRATION 1: MODULE 2: INTRODUCTION TO CORRECTIONS SCIENCE.","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2015,"CORRECTIONAL SERVICES ADMINISTRATION 1: MODULE 2: INTRODUCTION TO CORRECTIONS SCIENCE.","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2020,"CORRECTIONAL SERVICES ADMINISTRATION 1: MODULE 2: INTRODUCTION TO CORRECTIONS SCIENCE.","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2025,"CORRECTIONAL SERVICES ADMINISTRATION 1: MODULE 2: INTRODUCTION TO CORRECTIONS SCIENCE.","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2018,"CORRECTIONAL SERVICES ADMINISTRATION 1: MODULE 2: INTRODUCTION TO CORRECTIONS SCIENCE.","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2023,"CORRECTIONAL SERVICES ADMINISTRATION 1: MODULE 2: INTRODUCTION TO CORRECTIONS SCIENCE.","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2019,"CORRECTIONAL SERVICES ADMINISTRATION 1: MODULE 2: INTRODUCTION TO CORRECTIONS SCIENCE.","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2022,"CORRECTIONAL SERVICES ADMINISTRATION 1: MODULE 2: INTRODUCTION TO CORRECTIONS SCIENCE.","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2024,"CORRECTIONAL SERVICES ADMINISTRATION 1: MODULE 2: INTRODUCTION TO CORRECTIONS SCIENCE.","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2016,"CORRECTIONAL SKILLS","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2021,"CORRECTIONAL SKILLS","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2026,"CORRECTIONAL SKILLS","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2017,"CORRECTIONAL SKILLS","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2015,"CORRECTIONAL SKILLS","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2020,"CORRECTIONAL SKILLS","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2025,"CORRECTIONAL SKILLS","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2018,"CORRECTIONAL SKILLS","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2023,"CORRECTIONAL SKILLS","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2019,"CORRECTIONAL SKILLS","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2022,"CORRECTIONAL SKILLS","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2024,"CORRECTIONAL SKILLS","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2016,"CORRECTIONAL SERVICES ADMINISTRATION II: MODULE I: FUNDAMENTAL PENOLOGY","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2021,"CORRECTIONAL SERVICES ADMINISTRATION II: MODULE I: FUNDAMENTAL PENOLOGY","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2026,"CORRECTIONAL SERVICES ADMINISTRATION II: MODULE I: FUNDAMENTAL PENOLOGY","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2017,"CORRECTIONAL SERVICES ADMINISTRATION II: MODULE I: FUNDAMENTAL PENOLOGY","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2015,"CORRECTIONAL SERVICES ADMINISTRATION II: MODULE I: FUNDAMENTAL PENOLOGY","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2020,"CORRECTIONAL SERVICES ADMINISTRATION II: MODULE I: FUNDAMENTAL PENOLOGY","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2025,"CORRECTIONAL SERVICES ADMINISTRATION II: MODULE I: FUNDAMENTAL PENOLOGY","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2018,"CORRECTIONAL SERVICES ADMINISTRATION II: MODULE I: FUNDAMENTAL PENOLOGY","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2023,"CORRECTIONAL SERVICES ADMINISTRATION II: MODULE I: FUNDAMENTAL PENOLOGY","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2019,"CORRECTIONAL SERVICES ADMINISTRATION II: MODULE I: FUNDAMENTAL PENOLOGY","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2022,"CORRECTIONAL SERVICES ADMINISTRATION II: MODULE I: FUNDAMENTAL PENOLOGY","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2024,"CORRECTIONAL SERVICES ADMINISTRATION II: MODULE I: FUNDAMENTAL PENOLOGY","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2016,"CORRECTIONAL SERVICES ADMINISTRATION 2:MODULE 2 : SOCIAL DYNAMICS IN A CORRECTIONAL CENTRE","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2021,"CORRECTIONAL SERVICES ADMINISTRATION 2:MODULE 2 : SOCIAL DYNAMICS IN A CORRECTIONAL CENTRE","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2026,"CORRECTIONAL SERVICES ADMINISTRATION 2:MODULE 2 : SOCIAL DYNAMICS IN A CORRECTIONAL CENTRE","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2017,"CORRECTIONAL SERVICES ADMINISTRATION 2:MODULE 2 : SOCIAL DYNAMICS IN A CORRECTIONAL CENTRE","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2015,"CORRECTIONAL SERVICES ADMINISTRATION 2:MODULE 2 : SOCIAL DYNAMICS IN A CORRECTIONAL CENTRE","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
